dataset_name,mu,T,use_e0,inverse_mi_budget,privacy_aware,train_loss_list,final_train_loss,test_acc
bank,1.0,50,exact,512,False,"[3.01126727095928, 5.421251382203565, 6.716128032934762, 7.891968824082625, 7.640904017133408, 6.75931349819723, 7.5783703562356095, 7.993904458481921, 11.17475680084874, 10.735312607520541, 14.380428195521858, 11.432047394022561, 13.780266694520833, 14.131587621997028, 10.519922049879938, 10.556359201851592, 10.07028019022357, 11.674206941917078, 13.11679128956348, 15.74230523003098, 14.918130294620369, 9.822176320021867, 11.612079211294258, 10.92933052634362, 11.077179234718756, 11.293582170094055, 11.830950482687058, 14.070463661956751, 15.561829783374492, 14.766737101555123, 15.157705697478832, 13.49839194199194, 10.897298222135305, 8.07419928073935, 11.51514740291168, 10.992314823739548, 8.853594034480125, 9.303781550585228, 9.40208536642649, 9.860057242187395, 11.762413781119108, 12.90600292533827, 14.483804297898246, 14.951465597729566, 12.943434082856129, 13.681293927920706, 13.733654133008258, 14.385249483443204, 11.11663141452948, 11.807117686987226]",11.807117686987226,0.4751741588115692
bank,1.0,50,exact,512,False,"[3.0982781301757143, 4.314472167762801, 7.098357220549701, 6.133549759664021, 8.816329054496492, 10.118263613265299, 10.675501809765137, 9.00399581609966, 6.756506381846094, 7.2472796887014965, 7.933757944484682, 8.606305231273183, 8.900982430212139, 7.217367237595681, 6.910364848672657, 6.967901313870357, 6.005864341753778, 7.2491092170437526, 8.842214208351038, 8.053703460858856, 9.803583052486033, 12.179281020674466, 11.689846851052152, 13.034916996616744, 13.314828512375243, 13.814336890151026, 12.752873244123407, 16.980926990509033, 14.802463830536453, 15.367329767295018, 16.216127904529003, 16.759105656865472, 15.51180570234294, 14.019799810849236, 12.877541295125866, 14.337620075355517, 13.904902113118169, 10.17449644059991, 10.71432159522567, 8.539792713149183, 11.843704541475745, 10.002406723423064, 11.315091324731043, 9.142076135689535, 9.535259553821675, 10.734197573801794, 13.056826604901403, 14.365731916115692, 12.454541804869677, 9.66479540709588]",9.66479540709588,0.49773305654525757
bank,1.0,50,exact,512,False,"[2.650604364652395, 4.674568133149592, 7.106913320198146, 8.646596794304173, 9.621447186119468, 8.456404824648445, 9.123144189722666, 11.088709255353137, 8.680299078062518, 8.516495336495183, 8.475042010281442, 9.019349946168887, 11.231392730934317, 12.685955268991279, 11.008788871431648, 9.207996667257703, 9.318262541612512, 9.726552697775787, 8.193111080680978, 9.267900562733331, 10.483166942800494, 8.474547329591616, 13.202663830745223, 10.067757502671611, 10.281677398205034, 12.017952373493358, 12.755060966140377, 10.344143344018448, 10.519775732449489, 9.659282640981587, 8.93372647105764, 11.156115362427954, 12.9195454725824, 11.296815423331395, 9.808987644148601, 8.867040034846042, 10.793764962525529, 10.25466054474964, 10.79908605364517, 9.959385165129788, 9.44651853342657, 8.292592817769474, 9.779714649394464, 11.32666885338142, 11.121247217524797, 10.942183905037496, 12.607096332714718, 11.898763496391553, 11.814510328144024, 13.128756823677122]",13.128756823677122,0.5709388256072998
bank,1.0,50,exact,512,False,"[2.8422554397116073, 2.591178065267009, 4.953470135109939, 6.30042980609187, 6.003283763610199, 8.168233038527688, 9.30366303253848, 8.669008474593284, 8.516146427961871, 9.962808649616363, 8.022884739905294, 9.117509763386352, 9.537988556249843, 12.244360582670652, 11.537939306816043, 10.140350917514752, 9.910059490184722, 9.957378189727478, 12.72876645529368, 11.470100007027213, 12.054627422509952, 10.965427753249173, 10.155659009775718, 9.924069575565227, 9.849837850321933, 11.332835058584465, 10.501207419755815, 10.802811397691698, 10.915163680813293, 11.297954896945612, 9.596614809543553, 8.106747147166317, 8.528866209811241, 9.850384482725076, 6.53001070597, 9.127707498091695, 8.805019263352307, 9.358915333451023, 8.835420568729319, 7.482152758451349, 9.581558864926706, 9.167788662061668, 9.699398443241535, 14.547403038960056, 15.566475031332743, 16.96600807540392, 15.326541702234067, 13.341185315239727, 10.727879941522133, 14.244000661600808]",14.244000661600808,0.48811236023902893
bank,1.0,50,exact,512,False,"[2.8322043014387646, 3.5647345865600073, 5.998404146305006, 7.86794937466928, 6.841195825234564, 7.0620289951989434, 7.395254682958807, 9.419229421224486, 10.099614749224315, 9.8078100784426, 9.889195625180065, 9.643151390355797, 9.027812344378617, 10.365799794150007, 11.494997438460018, 12.33194443034165, 10.755197743384201, 8.705505229110827, 8.340182866438937, 11.792185789702216, 12.565639129419651, 11.125025187751021, 10.272717233533626, 15.098201831353435, 13.322477325204545, 16.765926957130432, 18.014111375516336, 18.119511563262222, 15.664499287575495, 13.143285080640567, 14.098076623691668, 12.29332886149325, 11.167680151992613, 11.456381413229906, 9.624543340027714, 12.339564540670949, 10.626553953338885, 13.932353509971222, 12.204843937252463, 12.648034353249841, 8.752847842758484, 8.805763542215573, 15.756660410618224, 12.48535058585594, 12.246332009192429, 7.7855884403091125, 10.23359255217838, 10.81623893189726, 12.794766690338747, 11.027085792013281]",11.027085792013281,0.6334181427955627
bank,1.0,50,exact,512,False,"[3.7654968270817335, 5.262308681951367, 7.284511910783408, 7.872758161604935, 8.461159241164864, 9.887756181581722, 11.617762429785671, 11.418122292820499, 12.726575752436474, 13.701237977675646, 13.6422324471215, 12.059345948370833, 15.656673763969707, 18.122631627060514, 19.150506832672477, 18.333433312398597, 15.899868563115888, 14.328938078850115, 18.06095837517205, 16.5026628799842, 15.204454764840193, 17.269896165089904, 13.482912678305297, 10.270244855938586, 9.590357314316208, 9.19085762280929, 10.173550729766362, 12.564920582485229, 13.226361268268306, 10.037256547456423, 11.901967512042688, 12.510090646224853, 12.294025965272454, 12.058837766141664, 14.600948077976227, 16.885714401659357, 15.04370687675339, 14.24604733939168, 12.30727526825649, 10.108290655025598, 10.053068774506755, 12.082145808988685, 10.036038778214788, 9.698699928911196, 11.048520324413857, 10.74339623917706, 9.14385923386044, 10.92361963441374, 11.218835724059431, 10.062642253501622]",10.062642253501622,0.49541082978248596
bank,1.0,50,exact,512,False,"[2.3953010069736322, 5.4521095332357845, 5.962831538618502, 7.078005842837229, 8.750361695701287, 10.150154130273222, 8.32525531332351, 9.938227809996533, 8.809179732045322, 9.058202357157938, 10.470696517777583, 9.029591087522135, 10.144119691871424, 11.302986639115261, 12.913591297110997, 11.722926572896654, 13.964272987604204, 16.623433942411907, 10.683184283991068, 14.96300256671384, 14.279460129714153, 14.551736710124828, 13.699164949171177, 14.833753100103422, 12.818426011987981, 13.964397754068273, 18.702305828218527, 16.574707233014237, 13.454017593249318, 13.03246648153845, 9.980188351271863, 10.863952872001391, 10.52532641904429, 9.88986508775315, 10.503506665528334, 10.785904288688585, 12.180164363375411, 8.480779076456912, 8.715062739911247, 13.515573848419194, 12.98039582271224, 11.930715722883633, 11.109671165497275, 11.383950192354973, 8.861881362486315, 10.127316963711678, 14.764359118622565, 9.900748077218964, 11.022626238052112, 11.808903795147216]",11.808903795147216,0.6273360848426819
bank,1.0,50,exact,512,False,"[2.58436837700404, 5.790792984837481, 6.228307661866097, 6.196442807043269, 7.613121988612676, 11.21943130082775, 10.660853973365306, 11.048513950965685, 11.527810540193173, 11.245853443938472, 10.478058827542668, 10.604139992480782, 10.936409042710807, 11.605691939839858, 13.073792503762093, 11.124247314408422, 12.771255218828173, 10.024659133481805, 10.022984970542097, 9.537194260133333, 10.560079419050567, 9.880214906770561, 10.117643387607245, 9.275834675087054, 8.84395046926241, 10.75792421313156, 10.614394232747145, 10.655359478288233, 8.977967402090144, 9.923492291018306, 10.101446219721765, 11.83490878687735, 8.226638283821359, 10.540577801275958, 11.062749476532645, 10.087072630860803, 9.13316238417292, 10.323792021269696, 9.440868801329202, 9.234002024753067, 11.319077540738817, 13.59211414726451, 14.343779394567264, 10.389058020518974, 15.755199998690387, 12.529853837564588, 13.211668297663095, 12.698888219696983, 11.503431241428302, 9.752099400538214]",9.752099400538214,0.4285082519054413
bank,1.0,50,exact,512,False,"[3.52619382359444, 5.661479743837418, 4.9153079960861135, 6.411536326545075, 8.447934511612402, 7.8340891174596266, 10.576721309511413, 10.469115676678939, 11.630828528781421, 9.3684048045275, 9.57494533096181, 9.632118485570373, 9.890701503480159, 10.81348446185632, 11.826884507539148, 12.13074817386996, 9.43815891229417, 11.15837716933504, 9.931667969336559, 13.123358364393425, 14.23553590347467, 12.537229185968044, 11.56546164553049, 15.395481289183522, 15.463945713956946, 14.617754178691143, 9.068675736456953, 7.612524685738691, 7.106972111208165, 7.091434084603208, 10.147978571607496, 12.531391559896292, 12.122990698077501, 9.103897813288569, 8.343393084400418, 8.870685440660168, 8.746069536113765, 6.693856698450446, 8.114029354444938, 10.030660899709005, 10.981742404126635, 11.240676351630555, 12.532475375255785, 13.529143900546046, 13.326466872189485, 11.775877414875595, 12.062483978037562, 13.367577501537312, 15.880919782988826, 14.655212096784453]",14.655212096784453,0.43459028005599976
bank,1.0,50,exact,512,False,"[2.668157325227895, 4.039780606066444, 6.104625788903633, 8.337861766306816, 8.374749603262103, 9.431640329117073, 10.540233887922227, 11.683659886931423, 10.442634612321854, 11.141351285347355, 10.330977055888184, 11.408087330125, 10.535306677207814, 11.020925595732479, 10.556575717435521, 11.809019330736305, 12.878510968417686, 11.708084890062423, 10.793423499543792, 9.200981733546087, 10.898840476228088, 15.318711616183009, 14.615221737549746, 12.73860797795271, 13.91118941490322, 14.00076853579958, 17.799679387970286, 16.540477158964222, 20.845068420309417, 16.617451399354195, 11.06308617948173, 10.305714482160624, 13.061877713712533, 12.045146813482006, 10.588650810648687, 10.959964714424586, 9.827591829067842, 11.564191356857123, 11.892702822835417, 15.280877217636885, 10.343301397403138, 9.706141482618477, 9.609735139251399, 12.670691553925394, 12.352226140788957, 11.094865817584378, 11.979477732173564, 11.18666375641078, 11.725953856964338, 8.618115137983551]",8.618115137983551,0.5531350374221802
bank,1.0,50,exact,256,True,"[0.6939121912466862, 0.6944120723372338, 0.6944687399714435, 0.6941453714188601, 0.6934972388911471, 0.6925979454492693, 0.6920547392193209, 0.6918231460088049, 0.6914365530438483, 0.6917502861063662, 0.6915020844586535, 0.6917947248791085, 0.6919647476508157, 0.691605890870462, 0.6918719008747454, 0.6914315171860828, 0.6913325584603917, 0.6912067641471147, 0.6917321279116658, 0.6913323677758482, 0.6909216314679941, 0.6905531005831712, 0.6900605833587156, 0.6895834240322581, 0.6893342045787058, 0.6897576422458965, 0.6900734122454769, 0.6898034619615225, 0.6901089076531091, 0.6894842621556485, 0.6889700343138021, 0.6891763006897063, 0.6889784335622222, 0.6885274807078096, 0.6881641565838355, 0.6882614395044805, 0.6886609252194761, 0.688001443034239, 0.6878250273885163, 0.6873037346963776, 0.6874261853582024, 0.6872734287795532, 0.6864062096436512, 0.6866544778193107, 0.6865512108361775, 0.6859101166985629, 0.6863970703751806, 0.6862121148307598, 0.6865795418938991, 0.6861194327996183]",0.6861194327996183,0.7436691522598267
bank,1.0,50,exact,256,True,"[0.6924009388823205, 0.6925545230577345, 0.6930780535870831, 0.6927127945148567, 0.6923518792418033, 0.691986317641629, 0.691970684572501, 0.6917305633441787, 0.6925040271452187, 0.6931521862331624, 0.6927822778988272, 0.6920279565885039, 0.6920030263532261, 0.6921374854932426, 0.6911798557807811, 0.6911467436503533, 0.6907204395196073, 0.6907785444724317, 0.690853280498488, 0.6906651098011641, 0.6910151810061705, 0.6910274420350798, 0.6911107378066149, 0.6907440623022774, 0.6901547437354585, 0.6899562727562021, 0.690732134298301, 0.691001626252354, 0.6899855823836778, 0.6901482138535867, 0.689888467905601, 0.6903947989464192, 0.6901614609936897, 0.6897558468136441, 0.6899952376996592, 0.6900003478323247, 0.6905490973946863, 0.690671402531668, 0.6899861100924519, 0.6898267683196562, 0.6902281708903425, 0.6906948402372162, 0.6905951426583947, 0.6900109301586258, 0.6895405369102996, 0.6896293650916913, 0.6897771002766132, 0.6895634648576839, 0.6894987242688242, 0.6892967246603826]",0.6892967246603826,0.7399093508720398
bank,1.0,50,exact,256,True,"[0.6928458100123471, 0.6927758631510046, 0.6929744930051986, 0.6922518880695714, 0.6927174556165792, 0.6932082581137569, 0.6930094315458236, 0.6933278773804311, 0.6929142150014689, 0.693290968334551, 0.693062789617048, 0.6935479395029551, 0.6939884547517171, 0.693702896062021, 0.6934556146799068, 0.6935957198912741, 0.6936553140699957, 0.6935307361984038, 0.6941262778821735, 0.6934569348687809, 0.6938872925475981, 0.6952417726198005, 0.6950310101492814, 0.695025281136378, 0.6950289730064579, 0.6959538388052982, 0.6959159735720089, 0.696371488837174, 0.697017258422046, 0.6977848300053419, 0.6981173724990881, 0.6978837926425052, 0.6969079724190118, 0.6962156633809977, 0.6961511807859386, 0.69608507045741, 0.6953259161733965, 0.6956805367198095, 0.6963631264483309, 0.6958204171376363, 0.6954777483693888, 0.6950938738428925, 0.6957112665380567, 0.6954656944875448, 0.6958562545561717, 0.6954936060012926, 0.6950030714748162, 0.6958226652051023, 0.6959634927240447, 0.6960211230428224]",0.6960211230428224,0.2614176571369171
bank,1.0,50,exact,256,True,"[0.6926075468853664, 0.6924965084716698, 0.6921295466956252, 0.6918312155867722, 0.6912173962132859, 0.6906851090287737, 0.6907382210849627, 0.6911743711761862, 0.6909121146775072, 0.690944722230151, 0.6909215468272417, 0.6911518840483383, 0.6909697080133077, 0.6911582260759346, 0.6907376455604652, 0.6907802898659148, 0.6904628925477181, 0.6903052378056118, 0.6901817917665247, 0.6907793688122617, 0.6910739294818137, 0.6914582775971514, 0.691196955710999, 0.6909633085241664, 0.6902625660374389, 0.6908663979329087, 0.6909607294515888, 0.6906784380855092, 0.6903630821095963, 0.6899841136727554, 0.6898823135167688, 0.6903573604435403, 0.6909334892408826, 0.690332987507069, 0.690906481422295, 0.690253349983976, 0.6899778280876174, 0.689851134738561, 0.6901240909237253, 0.6892537761581978, 0.688870444187462, 0.688850024441723, 0.6885227674924161, 0.6882061719798023, 0.6876468033185004, 0.6881199964368736, 0.6879082763438693, 0.6873905843347564, 0.6873237734319683, 0.6873311174919168]",0.6873311174919168,0.7385823130607605
bank,1.0,50,exact,256,True,"[0.6930314066098215, 0.6926596755974164, 0.6924832013023432, 0.6918807413788426, 0.6918252539827865, 0.6910195548659713, 0.6910047064445703, 0.6917231986869553, 0.6914820786690047, 0.6908076854673394, 0.6905375405531806, 0.6909484587385655, 0.6908527112533941, 0.6908686494248394, 0.6905669560379777, 0.6903241929371954, 0.6908005344653456, 0.6905967172759975, 0.6904318907306702, 0.6899661211542453, 0.6904640230199963, 0.6907543738933437, 0.6910900596946046, 0.6911710070620032, 0.6913486588197494, 0.6914947958385, 0.6922773840680574, 0.6927375247520653, 0.6924717426535385, 0.692457519117074, 0.6921724878126204, 0.6918688361027995, 0.6915894765092452, 0.6924731144705739, 0.6921919715362507, 0.6915977552629095, 0.691247986522435, 0.6910357824016821, 0.6908854369794923, 0.6906377540170842, 0.6906869967728423, 0.6906120992859591, 0.6907230767216374, 0.6899724100898339, 0.6901459988415617, 0.6903255329713087, 0.6903199250134634, 0.6904998808925673, 0.6907874491603724, 0.6903492273022449]",0.6903492273022449,0.706623911857605
bank,1.0,50,exact,256,True,"[0.6929853196047859, 0.6930163622349725, 0.6925408828312909, 0.6910570855307128, 0.6909299606300119, 0.6905926485170024, 0.6904359951855019, 0.6907954572130248, 0.69068873713022, 0.6902137627809858, 0.6901433013793429, 0.6896124606284271, 0.6892883652648678, 0.6892318034173555, 0.6893996672836337, 0.6891493082416571, 0.6887665471662037, 0.6886254204063472, 0.6882784038058007, 0.6878703815442848, 0.6880822113721912, 0.6883601693784781, 0.6884644232927363, 0.6879444791253926, 0.6879590576297011, 0.6875227739364594, 0.6868978841776964, 0.6871530358037955, 0.6867968698870639, 0.6869863092501373, 0.6876233962920839, 0.6867228961385435, 0.6867738531950636, 0.6871091017596492, 0.6873496240688162, 0.6871779788238312, 0.6874265336649867, 0.6875520708135601, 0.6871539592323089, 0.6870681027996355, 0.6864411487730848, 0.6867748853475489, 0.6866402767296447, 0.6866002886833462, 0.6861397209320964, 0.6860455942617081, 0.6863040267947338, 0.6857783570073095, 0.6856896649221553, 0.6853290116638815]",0.6853290116638815,0.7542850971221924
bank,1.0,50,exact,256,True,"[0.6930171486032283, 0.6932830324718308, 0.6940051310454202, 0.6947557302666698, 0.6945255804887227, 0.6943847963813454, 0.6943321909386745, 0.6935081682980382, 0.6929525059291725, 0.6930085327629055, 0.6929089101274424, 0.6924665886870579, 0.692481323519691, 0.6926944968809678, 0.6931810892553211, 0.6932719675721293, 0.6934463077280171, 0.6933711082299343, 0.6939584561144403, 0.6946832352919496, 0.6941752937198744, 0.6940953943018973, 0.6942894930567671, 0.693746898881137, 0.6939208183628606, 0.6940570693052341, 0.6937732434402538, 0.6938270671026392, 0.693502794996795, 0.6930279358024976, 0.6921269441320731, 0.6923227068457929, 0.6917933890996262, 0.6913979284457025, 0.6911256648073555, 0.6915635333816469, 0.6917444512785187, 0.6915428950627136, 0.6917184580531405, 0.6919729234269003, 0.6924124365278588, 0.6917309528027592, 0.6913594686643671, 0.6912263393482547, 0.6919635920837288, 0.69240034582439, 0.6931835641964867, 0.6933313389745497, 0.6933240210750604, 0.6932408065617929]",0.6932408065617929,0.4722990095615387
